名前	文明	種族	パワー	コスト	進化	効果	トリガー
偽りの影ヘル・スモーク	2	39	5000	6				
邪獄ギリアム	2	41	5000	7				
凶骨の邪将クエイクス	2	41	6000	7		3		
悪魔神バロム	2	41	12000	8	1	3		
ピッピ・クッピー	3	59	1000	2				
双神兵カミカゼ	3	52	1000	2			1	
爆弾小僧ミサイルボーイ	3	58	1000	3				
爆裂兵ダーク・ブラスター	3	56	2000＋	3				
マグマティラノス	3	65	3000	5			1	
カオティック・ワイバーン	3	51	4000	5				
超巨岩獣ドボルガイザー	3	65	8000	6	1	3		
ガルクライフ・ドラゴン	3	50	6000	7		3		
孤高の願	4	75	1000	2			1	
カスミダケ	4	73	1000	3				
爆発サボテン	4	71	2000＋	3				
シェル・キャノン	4	67	1000＋	4			1	
応援チューリップ	4	71	4000	5				
スリーアイズ・ドラゴンフライ	4	69	4000＋	5			2	
護りの角フィオナ	4	76	9000	6	1	3		
いにしえの超人	4	68	9000	8		3		
ライト・ディフェンス	0	0		1				
フル・ディフェンサー	0	0		2			1	
エンジェル・ソング	0	0		3				
クローン・ファクトリー	1	0		3				
ハイドロ・ハリケーン	1	0		6				
悪魔の契約	2	0		2				
ソウル・イーター	2	0		4				
いけにえの鎖	2	0		8				
メガ・ブラスター	3	0		2				
デーモン・ソード	3	0		4				
ブレス・ソード	4	0		2				
ミステリー・ブレス	4	0		6				
バルキリー・ドラゴン	3	50	7000	7		3		
魔刻の騎士オルゲイト	2	41	6000	7		3		
予言者レクイル	0	20	1500	2			2	
乱雲の使徒カルゴ	0	10	2000	3				
神魂の守護者シュノーク・ラー	0	12	3000	3		1		
光魂の伝道師クルス	0	17	3500	4				
鉄壁の守護者ガリア・ゾールα	0	12,2	2000	5		1,4		
戦空の伝道師バルスβ	0	17,2	3000	5		4		
雷撃の求道者ラ・ガイル	0	19	7500	6		3		
風撃の求道者ラ・バイル	0	19	5000	7		1		
光翼の精霊サイフォス	0	11	7000	7		1,3		
天海の精霊シリウス 	0	11	12000	11		1,5		
岩肌魚	1	32	3000	3				
ポコルル	1	28	2000	4				
ツインヘッド・タートルβ	1	24,2	2000	5		4	2	
スチールアーム・クラスター	1	26	3000	5				
アクア・サーファー	1	35	2000	6			1	
流星魚α	1	32,2	3000	6		2,4		
バウンサー・イール	1	24	4000	6				
シー・スラッグ	1	24	6000	8		1,2		
キング・マゼラン	1	34	7000	8		3		
キング・アトランティス	1	34	12000	12		5		
スパイダー・ジュエル	2	47	1000	2				
魔幻の影エターナル・クライ	2	39	2000	3				
ギガゾウル	2	37	3000	3				
ダーク・ティアラγ	2	47,2	1000	4		4	2	
ギガリングα	2	37,2	2000	5		4,9		
角男	2	48	3000	5				
ギガゲイル	2	37	4000	5				
剣舞の修羅ヴァシュナ	2	41	7000	5		3		
冥将ダムド	2	40	5000	6				
殺戮の羅刹デス・クルーザー	2	41	13000	7		5		
ブレイズザウルスα	3	65,2	1000＋	2		4		
解体屋ピーカプ	3	63	1000	3		6		
ポッポ・チャッピー	3	59	1000	3				
砲神兵バゴーン	3	52	4000	4			1	
ストームジャベリン・ワイバーン	3	51	7000	4				
猛爆軍曹ボンバット	3	56	3000	5		6		
ブレイドラッシュ・ワイバーンδ	3	51,2	5000	7		3,4		
ツインキャノン・ワイバーン	3	51	7000	7		3,6		
ボルガッシュ・ドラゴン	3	50	4000＋	8		5		
グラディアン・レッド・ドラゴン	3	50	15000	10		5		
巨翼の爪	4	75	1000＋	2				
シェル・ブリゲードγ	4	67,2	1000	3		4	2	
威嚇するスマッシュ・ホーンα	4	76,2	2000＋	3		4		
フウセンアワダケβ	4	73,2	2000	4		4		
アンブッシュ・スコーピオン	4	69	3000＋	5				
ブラッドウィング・マンティス	4	69	6000	5		3	2	
オブシディアン・ビートル	4	69	5000＋	6		3		
月浴するムーン・ホーン	4	76	6000＋	6		3		
神拳の超人	4	68	8000	6		3	3	
シザーズ・ビートル	4	69	5000	7				
哀哭の超人	4	68	7000＋	7		5		
サンダー・ネット	0	0		2				
グローリー・スノー	0	0		4			1	
ミラクル・サーチャー	1	0		3				
神々の逆流	1	0		9				
ファントム・ベール	2	0		1				
策略の手	2	0		5				
サイクロン・パニック	3	0		3			1	
竜脈噴火	3	0		8				
ビースト・チャージ	4	0		2				
再誕の森	4	0		4				
予言者ジェス	0	20	2000	1		1		
予言者ユーク	0	20	2500	1				
電磁の使徒バルアス	0	10	2000	2				
聖騎士ムーンティアー	0	21	3500	2				
予言者アドミス	0	20	2000	3				
藍電草	0	15	3000	3				
宣凶師キンゼラ	0	13	4000	3		1		
宣凶師エルリオット	0	13	3000	4		1		
聖騎士コスモグールド	0	21	3000	4				
不屈の使徒チーキ・クーレ	0	10	1000	5		1		
光柱樹	0	15	1000＋	5				
鋭刃の使徒グーレ・チェーン	0	10	2000	5				
銀界の守護者ル・ギラ・レシール	0	12	4000	5		1		
守護聖天アーク・バイン	0	12	5000	5	1			
綺羅星の精霊ガリアル	0	11	7500	5		3		
聖域の守護者フォボス・エレインγ	0	12,2	4000	6		4		
飛雲の求道者ダバ・トーレ	0	19	5500	6				
聖天使クラウゼ・バルキューラ	0	10	7500	6	1	3		
閃光の求道者ラ・ベイル	0	19	8500	8		1,3		
ゼピメテウス	1	29	2000	1		1		
エレガント・ランプ	1	25	1000	2				
マドリオン・フィッシュ	1	24	3000	2		1		
プロメフィウスα	1	29,2	2000	3		4		
ソピアン	1	28	2000	4				
アクア・ライダー	1	35	2000	4				
ストーム・クロウラー	1	22	5000	4		1		
デコ・クラスター	1	26	4000	5				
フォート・メガクラスター	1	26	5000	5	1			
ハザード・クロウラー	1	22	6000	5		1		
キュロロ	1	28	2000	6				
ロータス・ミントγ	1	25,2	2000	6		4		
ラプター・フィッシュ	1	24	3000	6				
クリスタル・ジャベリン	1	35	7000	7	1	3		
エウロピカ	1	29	4000	7				
シャインシェル・クラスター	1	26	4000	7				
ナイト・クロウラー	1	22	6000	8		3		
キング・トラファルガー	1	34	7000	8		3		
ゼータ・トゥレイト	1	2	8000	8	1	4		
孤独の影ロンリー・ウォーカー	2	39	2000	1				
刃滅人形ポール	2	42	1000	2				
凶犬人形ジュンカツ	2	42	2000	2				
逆歯怪人トマホーク	2	43	1000	3		9		
恐慌の魔黒デス・スペクター	2	39	5000	3	1			
カース・ペンダント	2	47	2000	4		1,9		
烈裂虫テンタクル・ワーム	2	45	3000	4				
鬼眼怪人スカルカッター	2	43	4000	4				
虚空の翼ダークモルダー	2	41	7000	4		3		
戦男	2	48	8000	4				
憤怒の猛将ダイダロス	2	41	11000	4		3		
死縛虫グレイブ・ワームγ	2	45,2	3000	5		4		
幽鬼の影リバース・ソウル	2	39	3000	5				
超幻獣グラザルド	2	37	5000	5	1			
砕骨の刺客ゾルバス	2	41	8000	5		1		
ギガボアー	2	37	4000	6		1,9		
闇侯爵ハウクス	2	40	5000	6				
戦慄の剛将アブリン	2	41	8000	6		3		
戦車男	2	48	6000	9				
ピーカプのドライバー	3	53	1000	2				
無謀鉄人チョイヤ	3	58	1000＋	2				
ピコラのスパナ	3	53	2000	2				
コッコ・ルピア	3	59	1000	3				
荒法師ミガサ	3	58	2000	3				
炎獣兵マグナム・ブルース	3	56	2000＋	3				
襲撃者エグゼドライブ	3	56	3000	3		6		
エグゼズ・ワイバーン	3	51	5000	3		6		
撃神兵マシンガー	3	52	4000	4				
甲冑神龍エグゼキューター	3	56	5000	4	1			
ピーカプ・リザード	3	55	3000＋	5				
捜神兵グチェラリオン	3	52	4000＋	5				
機神装甲ヴァルカイザー	3	58	5000	5	1			
スフィンティラノスβ	3	65,2	3000	6		4,6		
ムラマサ・リザード	3	55	4000	6		6		
勇神兵エグゾリウス	3	52	4000＋	6				
シグマ・トゥレイト	3	2	9000	6	1	4,8		
ボルメテウス・ホワイト・ドラゴン	3	50	7000	7		3,34		
バザガジール・ドラゴン	3	50	8000	8		3,6		
滑降妖精ガラボン	4	70	1000＋	2				
シェル・ラック	4	67	2000	2				
盗賊の盾	4	75	2000	3				
シェル・キャリアー	4	67	2000＋	3				
幻惑ベリー	4	71	3000	3				
ブルーレイザー・ビートル	4	69	4000＋	3				
無垢の宝剣	4	75	1000	4				
魅了妖精チャミリア 	4	70	3000	4				
樹界を守るパラダイス・ホーン	4	76	3000＋	4				
激闘するフェザー・ホーン	4	76	4000	4				
戦いの化身	4	77	4000	5				
超空要塞バビロン	4	67	5000	5	1			
神秘の超人	4	68	7000	5				
シェル・ファクトリーγ	4	67,2	2000	6		4		
シータ・トゥレイト	4	2	3000	6	1	4	1	
殺戮の化身	4	77	4000＋	6		3		
恵みの化身	4	77	5000	6				
大昆虫ガイア・マンティス	4	69	9000	6	1	3		
ガイアクロウ・ワスプ	4	69	4000＋	7		3	3	
跳躍の超人	4	68	8000	7		3		
プロテクト・フォース	0	0		1			1	
レイン・アロー	0	0		2				
エレメンタル・シールド	0	0		4				
ジャスティス・バインド	0	0		4			1	
インビンシブル・オーラ	0	0		13				
エナジー・ライト	1	0		3				
ミスティック・クリエーション	1	0		4			1	
ショック・ハリケーン	1	0		5				
インビンシブル・テクノロジー	1	0		13				
邪魂転生	2	0		3			1	
死の宣告	2	0		4			1	
ヘル・スラッシュ	2	0		8				
インビンシブル・アビス	2	0		13				
火炎流星弾	3	0		1			1	
ピコット・ミサイル	3	0		3				
幻竜砲	3	0		3			1	
クライシス・ボーラー	3	0		4			1	
インビンシブル・フォートレス	3	0		13				
フェアリー・ライフ	4	0		2			1	
神秘の宝箱	4	0		3				
大自然の意志	4	0		3			1	
インビンシブル・パワー	4	0		13				
予言者ベクス	0	20	2500	3				
捕獲の使徒ローム	0	10	2000	4				
白夜の守護者ロディ・ゲール	0	12	3500	4				
光封樹	0	15	1000	5		33		
聖騎士プラネットシャイン	0	21	4000	5			2	
聖騎士サーベルフィーリ	0	21	4000	5				
聖天使カイザル・バジキューラ	0	10	8500	5	1	1,3		
宣凶師ロンドビル	0	13	5000	6				
栄光の精霊アイリス	0	11	7000	6		3		
爆雷の求道者ガラ・ガンダール	0	19	6500	7		3		
キュリアス・アイ	1	25	1000	3			2	
セティボルス	1	29	2000	3				
ガラティアヌス	1	29	2000	4				
スプラッシュ・ゼブラフィッシュ	1	24	3000	4		2		
ウォール・クラスター	1	26	4000	4		1		
アストラル・メデューサ	1	25	3000	5	1			
アクア・エージェント	1	35	2000	6				
ビアンカス	1	29	3000	6		1		
アクア・フェンサー	1	35	3000	7				
キャバリア・シャーク	1	24	5000	7				
キング・アクエリアス	1	34	6000	8		3		
飛行男	2	48	1000	2				
ポイズン・ティアラ	2	47	2000	3				
隠密人形ゲザリー	2	42	2000	3				
夢幻の影ダーク・バンディット	2	39	3000	4				
三面怪人アシュラファング	2	43	4000	4				
ギガバスター	2	37	5000	5		1		
超幻獣ドグザバル	2	37	9000	5	1	3		
戦艦男	2	48	5000＋	6				
残虐覇王デスカール	2	40	4000	8				
クック・ポロン	3	59	1000	2				
クレーターザウルス	3	65	2000＋	3				
暴走番長ギャラン	3	58	2000＋	3				
ガザリアス・ドラゴン	3	50	4000＋	5				
アストロノーツ・ワイバーン	3	51	4000＋	5				
ピーポのバール	3	53	3000	6				
怪神兵ナグール	3	52	4000＋	6		3		
鎧神兵ガリアクルーズ	3	52	5000	6				
超巨岩獣ヴォルクラウザー	3	65	9000	6	1	3		
激震闘士スカイ・クラッシャー	3	56	4000	7				
ランチャー・スパイダー	4	69	2000＋	3				
草原の種	4	75	2000	4				
春風妖精ポップル	4	70	2000	4				
シェル・ブリーダー	4	67	3000	4				
撃墜するスティンガー・ホーン	4	76	3000＋	4				
爆転の化身	4	77	4000	5				
呪紋の化身	4	77	6000	6		3		
世界樹ユグドラジーガ	4	71	7000＋	6	1	3		
金剛の超人	4	68	14000	9		5		
ジャスティス・ジャミング	0	0		3				
ライトニング・チャージャー	0	0		4		7		
ミラクル・ポータル	0	0		4				
スパイラル・チャージャー	1	0		5		7		
ブラッディ・チャージャー	2	0		3		7		
バキューム・ジェル	2	0		4			1	
チェイン・スラッシュ	2	0		5				
エナジー・チャージャー	3	0		3		7		
地獄万力	3	0		7				
メビウス・チャージャー	4	0		3		7		
氷結ハンマー	4	0		3				
不死身の果実	4	0		4			1	
日輪の守護者ソル・ガーラ	0	12	1000	2		1		
乱撃の使徒ミガロ	0	10	1500	2		10	2	
予言者マリエル	0	20	1000	4				
日向草	0	15	3000	5		10	4	
光器マーシャ	0	18	5000	5				
開眼者クーカイ	0	19	10500	5	1	1		
疾風の守護者スール・ミース	0	12	3000	6				
光器ナスターシャ	0	18	6000	7		3,33		
光器サーシャ	0	18	9500	8		1,3		
グレープ・ジェリー	1	25	1000	2				
キャンディ・クラスター	1	26	1000	3		2		
ビコラキス	1	29	1000	3		10	2	
テンペスト・キラーホエール	1	24	2000	4		1		
イリュージョン・フィッシュ	1	24	3000	4		10		
アクア・グラップラー	1	35	3000	5			2	
アクア・レンジャー	1	35	3000	6		2		
ラリシウス	1	29	4000	6			2	
エンペラー・アクア	1	28	5000	6	1	1		
暴虐虫タイラント・ワーム	2	45	2000	1				
ディメンジョン・チョーカー	2	47	1000	3				
機怪人形ガチャック	2	42	2000	3		10	4	
黒神龍ギランド	2	44	6000	4		3		
単車男	2	48	6000	4		1		
ギガクローズ	2	37	2000	5		10	2	
暗黒皇女メガリア	2	40	5000	5				
恐怖の影スクリーム・アサシン	2	39	4000	6				
黒神龍ガルバジーク	2	44	9000	6		3	2	
超神龍アブゾ・ドルバ	2	44	11000＋	6	3	5		
トット・ピピッチ	3	59	1000	3				
肉弾兵ウルティモ	3	56	2000＋	3		10		
重装兵ガルバック	3	56	3000	4		10	2	
紅神龍メルガルス	3	62	4000	4				
ロケットダイブ・ワイバーン	3	51	5000＋	4				
超竜バハム	3	50	11000	4	1	8		
爆竜兵ドラグストライク	3	56	1000	5				
バトルシップ・ワイバーン	3	51	4000＋	5				
ブルーザー・ドラゴン	3	50	5000	5				
紅神龍ジャガルザー	3	62	6000	6		3,10		
超竜バジュラ	3	50	13000	7	8	5	2	
竜舞の化身	4	77	1000	2				
怒髪の豪腕	4	75	1000＋	2				
沈黙するバックラー・ホーン	4	76	2000	4				
カーボナイト・ビートル	4	69	3000	4		10	3	
シェル・コロシアム	4	67	3000	4			3	
食獣セニア	4	71	3000＋	4		10		
緑神龍ガミラタール	4	66	6000	4		3		
緑神龍グレガリゴン	4	66	4000＋	5		3		
超神龍バイラス・ゲイル	4	66	9000	5	3	3		
幻想妖精カチュア	4	70	3000	7				
ソーラー・チャージャー	0	0		3		7		
ドラコ・バリアー	0	0		3			1	
レーザー・ウィップ	0	0		4				
ウェーブ・ランス	1	0		3				
ブレイン・チャージャー	1	0		4		7		
マリン・スクランブル	1	0		7				
リバース・チャージャー	2	0		4		7		
スケルトン・バイス	2	0		4				
クリムゾン・チャージャー	3	0		4		7		
レジェンド・アタッカー	3	0		4				
ライフ・チャージャー	4	0		3		7		
パワー・チャージャー	4	0		3		7		
光器エレーナ	0	18	3000	6				
紅神龍バルガゲイザー	3	62	5000＋	6			2	
双光の使徒カリュート	0	10	1000	2				
時空の守護者ジル・ワーカ	0	12	2000	3		1		
聖騎士メビウスリンク	0	21	3000	4			4	
光器ペトローバ	0	18	3500	5				
守護聖天グレナ・ビューレ	0	12	8500	5	1	3	7	
予言者ミキュート	0	20	4000	5				
宣凶師ベトラーレ	0	13	5000	5		1		
月虹の守護者アール・ノアール	0	12	5500	6				
天光の精霊ミハイル	0	11	4000	8				
フェアリー・キャンドル	1	25	1000	2		1	5	
エンペラー・マロル	1	28	5000	3	1		3	
スカウト・クラスター	1	26	4000	3		1		
ポキラ	1	28	3000	4				
ストーク・クロウラー	1	22	4000	5		1	5	
ティコラクス	1	29	3000	5				
テンタクル・クラスター	1	26	2000	5			4	
アクア・マスター	1	35	4000	6			4	
マーチング・スプライト	1	25	2000	6				
毒牙虫ベノム・ワーム	2	45	1000	3				
