ブルーインパクト-468,468,468,118,1239,1239,1239,320,320,320,1565,1565,1565,1565,1461,1461,1461,1461,1090,1090,1090,1090,1062,1062,1062,1062,586,164,164,785,785,79,79,79,79,1277,1277,969,969,969-100/dm125.html
銀河の閃光-1308,1308,1308,1308,1503,1503,1503,1503,776,776,776,1570,1570,1309,1309,1309,1309,1613,1613,1613,1572,1572,1572,1575,1575,1575,25,25,118,1126,1126,1126,1126,260,33,33,838,838,838,838-100/dm126.html
ジェット・ブレイカー-255,255,1577,1577,1577,1577,1578,1578,1578,1578,565,565,567,567,567,567,1590,1590,1590,1590,427,427,427,427,1622,1622,1598,1598,1598,1598,1604,1604,1604,1604,592,592,592,592,1606,1606-100/dm126.html
黒いニワトリ-1631,1631,1631,104,104,104,104,871,871,871,871,427,427,427,427,603,603,603,603,1564,1564,1564,1564,608,608,608,608,1090,1090,1090,1090,1601,1601,1601,1601,898,1697,1697,1697,1697-100/dm127.html
ハイドロ・デストラクション2007-367,367,367,367,673,673,676,676,676,548,548,548,548,247,247,247,247,260,296,296,296,296,405,405,405,41,41,41,41,759,759,759,759,754,754,754,953,953,953,953-100/dm128.html
カチュアGX-909,909,909,909,915,915,602,1589,104,104,1593,1593,1593,1593,726,726,726,1090,1090,1090,1304,1304,1212,1212,1091,1091,1091,481,481,481,1275,1275,1275,1275,79,79,79,594,594,594-100/dm129.html
ドラゴン・ビートダウン-427,427,1622,1622,1564,1564,1564,1598,1598,608,608,608,608,1090,1090,1090,1090,1601,1601,1601,1601,1697,1697,1697,1697,481,481,481,481,79,79,79,79,1604,1604,1604,888,888,977,977-100/dm130.html
バルメガス-118,392,392,1239,1239,1239,1239,320,320,320,320,1565,1565,1565,430,430,1821,1821,1821,1821,1090,1090,1090,1090,542,76,76,586,586,79,79,79,79,1277,1822,1822,1822,769,769,769-100/dm131.html
ダークネスドロー-247,247,247,247,1791,1791,1791,1791,118,260,320,320,41,41,41,41,1025,1025,1025,602,264,264,264,264,1797,1797,1797,1797,104,104,104,104,759,759,953,953,1704,1704,1704,1704-100/dm133.html
ジオメテウス・テラ-118,1239,1239,1239,1239,320,320,320,320,726,726,726,726,1564,1564,1564,1825,1825,1825,1563,1563,1563,1563,76,76,76,785,785,785,785,79,79,79,79,594,594,594,594,769,986-100/dm134.html
マスターハリケーン-244,244,244,680,680,680,680,1042,1042,1042,1048,1048,1048,481,481,481,481,785,785,785,785,79,79,79,79,1485,1485,1485,1074,1074,1074,1074,973,973,973,973,1742,1742,1742,1742-100/dm135.html
